-106, 97, 990
-125, 108, 975
-131, 136, 1085
-106, 169, 1224
-57, 207, 1214
-59, 250, 1132
-68, 295, 1126
-52, 326, 1224
-52, 326, 1224
-24, 393, 1347
4, 409, 1409
22, 441, 1408
53, 430, 1460
80, 431, 1528
80, 431, 1528
60, 482, 1533
65, 446, 1496
82, 400, 1501
100, 423, 1500
113, 473, 1479
113, 473, 1479
144, 463, 1459
172, 461, 1483
194, 464, 1482
228, 467, 1480
271, 459, 1481
308, 449, 1476
324, 438, 1479
324, 438, 1479
341, 422, 1435
368, 408, 1418
402, 396, 1445
430, 381, 1443
430, 349, 1408
428, 333, 1329
433, 303, 1229
433, 303, 1229
417, 305, 1153
406, 284, 1039
386, 258, 900
-,-,-
17, -66, 1219
42, -63, 1312
61, -29, 1390
61, -29, 1390
82, -11, 1435
117, -22, 1437
149, -26, 1447
188, -44, 1466
232, -70, 1464
266, -94, 1439
266, -94, 1439
301, -86, 1376
323, -90, 1310
336, -105, 1282
357, -104, 1231
378, -97, 1168
374, -114, 1098
359, -123, 1001
342, -131, 929
342, -131, 929
338, -147, 865
307, -161, 796
279, -186, 735
266, -217, 636
239, -238, 573
202, -241, 521
181, -248, 538
181, -248, 538
172, -259, 553
155, -243, 486
143, -262, 421
139, -279, 390
117, -307, 425
87, -338, 446
87, -338, 446
35, -371, 455
-5, -376, 427
-39, -358, 428
-73, -352, 492
-107, -327, 506
-119, -324, 500
-108, -300, 518
-108, -300, 518
-107, -257, 549
-129, -247, 582
-151, -261, 617
-181, -259, 642
-187, -218, 606
-177, -125, 598
-152, -76, 661
-145, -57, 754
-155, -9, 801
-179, 40, 803
-179, 40, 803
-188, 62, 839
-146, 59, 854
-126, 102, 856
-122, 180, 900
-95, 185, 945
-95, 185, 945
-79, 213, 1063
-61, 222, 1104
-57, 231, 1072
-50, 326, 1208
-85, 306, 1311
-115, 327, 1251
-115, 327, 1251
-98, 413, 1185
-66, 447, 1288
-81, 451, 1358
-137, 519, 1366
-160, 597, 1342
-111, 609, 1359
-98, 560, 1354
-71, 602, 1361
-39, 654, 1399
-39, 654, 1399
23, 596, 1416
57, 536, 1412
74, 566, 1406
96, 620, 1437
141, 616, 1440
141, 616, 1440
165, 579, 1463
175, 594, 1466
201, 620, 1447
217, 606, 1449
238, 579, 1469
251, 575, 1504
259, 568, 1464
259, 568, 1464
267, 543, 1377
273, 517, 1354
289, 504, 1342
309, 514, 1313
330, 517, 1244
351, 513, 1125
-,-,-
-28, -18, 1096
-23, -25, 1070
-35, -14, 1220
-34, -16, 1378
35, -49, 1593
35, -49, 1593
110, -6, 1880
145, 48, 1998
176, 89, 1998
242, 112, 1998
351, 159, 1945
351, 159, 1945
451, 150, 1712
517, 137, 1442
555, 128, 1125
550, 109, 779
539, 93, 437
539, 93, 437
513, 72, 166
469, 42, -90
395, 3, -331
311, -41, -498
311, -41, -498
225, -81, -622
112, -122, -675
-30, -149, -704
-130, -70, -673
-228, 39, -644
-344, 139, -682
-433, 211, -547
-542, 254, -292
-571, 268, 12
-571, 268, 12
-530, 273, 272
-526, 299, 545
-479, 408, 902
-419, 553, 1402
-505, 596, 1838
-461, 628, 1981
-392, 743, 1998
-415, 863, 1998
-415, 863, 1998
-410, 1005, 1998
-348, 1047, 1998
-229, 959, 1998
-107, 926, 1998
-27, 950, 1998
92, 937, 1998
239, 878, 1998
363, 835, 1998
445, 814, 1998
572, 842, 1998
572, 842, 1998
706, 851, 1988
-,-,-
48, -94, 1215
48, -94, 1215
97, -61, 1369
140, -29, 1506
233, -103, 1607
271, -134, 1679
318, -119, 1699
400, -67, 1715
482, -29, 1709
512, 25, 1538
512, 25, 1538
577, 66, 1301
572, 69, 1128
519, 32, 961
451, -4, 776
451, -4, 776
407, -51, 593
352, -85, 432
273, -119, 307
183, -159, 201
183, -159, 201
97, -190, 161
54, -196, 141
28, -189, 121
-30, -215, 56
-96, -246, -12
-96, -246, -12
-147, -236, -48
-185, -196, -93
-214, -159, -162
-271, -130, -180
-325, -71, -197
-365, 60, -274
-407, 148, -340
-449, 181, -336
-487, 217, -269
-421, 266, -87
-371, 366, 230
-325, 568, 684
-325, 568, 684
-266, 698, 1301
-203, 751, 1848
-164, 959, 1998
-188, 1093, 1998
-156, 1109, 1998
-87, 1080, 1998
-40, 1038, 1998
41, 976, 1998
212, 867, 1998
336, 830, 1998
336, 830, 1998
468, 764, 1998
538, 719, 1998
554, 740, 1998
585, 779, 1998
593, 751, 1998
599, 709, 1998
663, 755, 1911
663, 755, 1911
719, 816, 1634
731, 851, 1371
-,-,-
406, -5, 1768
465, 65, 1815
463, 109, 1901
486, 145, 1816
486, 145, 1816
482, 184, 1708
470, 230, 1608
446, 229, 1415
402, 214, 1148
325, 152, 877
271, 100, 641
271, 100, 641
247, 63, 518
204, 21, 338
157, -54, 122
119, -127, -61
119, -127, -61
64, -215, -257
4, -293, -415
-69, -354, -547
-123, -356, -643
-168, -307, -680
-221, -248, -641
-279, -171, -508
-350, -107, -352
-414, -29, -289
-470, 23, -221
-484, 55, -76
-442, 69, 55
-442, 69, 55
-398, 172, 185
-423, 287, 372
-409, 404, 582
-175, 556, 1008
-157, 646, 1400
-343, 717, 1367
-343, 717, 1367
-373, 954, 1321
-288, 1131, 1857
-360, 1240, 1998
-492, 1268, 1998
-402, 1308, 1998
-259, 1258, 1998
-175, 1235, 1998
-184, 1253, 1998
-115, 1169, 1998
-33, 1071, 1998
-9, 1023, 1998
31, 1011, 1996
136, 947, 1869
228, 907, 1773
361, 964, 1753
361, 964, 1753
593, 1032, 1723
788, 1102, 1764
-,-,-
215, -95, 1489
256, -58, 1636
267, -11, 1768
267, -11, 1768
312, 15, 1810
374, 30, 1794
435, 26, 1734
490, 34, 1604
533, -25, 1465
533, -25, 1465
543, -73, 1285
549, -82, 1122
577, -108, 949
583, -136, 729
567, -115, 547
540, -117, 399
482, -92, 221
482, -92, 221
421, -93, 61
341, -121, -61
242, -121, -204
163, -94, -399
71, -99, -592
71, -99, -592
-64, -132, -757
-228, -134, -715
-364, -106, -616
-407, -33, -456
-429, 14, -290
-508, -12, -141
-549, -52, -110
-567, 38, -26
-535, 150, 164
-535, 150, 164
